source_image,page_index,name,hp,evolves_from,ability_name,ability_text,attacks,set_name,set_code,card_number,artist,weakness,resistance,retreat,notes,page_sha1,ocr_len,parse_warnings
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_026.png,13,Memes Gamma vcr sc os oe,a,WAT We,": aS Gee ee =) o
Haiolsst ERED NG! techy es core pe 18 S ~
- : e 6 Lee ie (ieee x Se i
ee eS ote RUSTED rc","ese Ss aes oe
Bee en Sis, | de RON ee
pes 8 se 5 || Fie as Ea
ae See fe ee a \

os ES Oe 2. ee 3 eae",Spat eeasel nega oes :: 4,,,,,,|,—,IDR i ara yeaa Oe SERN Ged Bed ye NOt au gel eler tein eas ages BS Memes Gamma vcr sc os oe Spat eeasel nega oes 4 See! Ba We,d8e0267f95389ebfb07029d38a1349748ab15a03,128,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_028.png,14,Ras y =,,,". ee ne Cen
ee Mn 7S)
Ue | fe",yo) VA\ av,"euro vii ek Seen Yh =e
Oe ay rf is /
ee wee",,,,,,,,Ras y =,04ef1a61aee337742ce211e6ca560b957d643033,8,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_030.png,15,Arm Thrust Pokémon,210,,,,,,,,,,,,,70ade22e7b89ab4d6a37b5fa02f06176d61d4838,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_032.png,16,Gigalith,140,,,,,,,,,,,,,79d14b597a346e90775dfdd9e34fb917981306cc,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_034.png,17,Alakazam,140,,,,,,,,,,,,,6b09f39875a91516fd0918acf1bd62bdc5b3a9d2,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_036.png,18,Clawitzer,130,,,,,,,,,,,,,5d4dbfa495024ebb390ca544b4471476f17d4cee,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_038.png,19,Numel,70,,,,,,,,,,,,,f8a293451a3f7013a02f8a85af3bdf87620663f5,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_040.png,20,Acorn Pokémon,20,,,,,,,,,,,,,c034e3715103b6c7d50e9d084cc2d20d94d8a136,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_042.png,21,Meganium,160,,,,,,,,,,,,,4d2110582498bd0040f4682d0eb1f4cc2cd4f124,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_044.png,22,Howitzer,210,,,,,,,,,,,,,757b180120a3c99b5a464bd31142759095dee214,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_046.png,23,Yveltal,110,,,,,,,,,,,,,241d7ffaf5e6efe6cb89ede3f812fb9f8f46fb2c,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_048.png,24,Gogoat,120,,,,,,,,,,,,,c586eb0d5885aa2936acc8931feb0ab9aaec427e,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_050.png,25,"[RUS seb Se Cee gk: s i /, ig",,|| | tae,"ae 2 =\\| ar
See ee e | a)","Ge el

ee Si aa om
Hi Opt ge
— 2 Mere Aw se
oo ee. Y/ deal a SN","Se ee "" pa",|,,|,,,aa,—————__—_——-,"Rvipauere een uaneortetat ton Sou i ie Yb Y [RUS seb Se Cee gk: s i /, ig iegtetbane TT",c83e4a2ac8b685921dd36f03a9f7f2dc465da499,88,"hp_missing,artist_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_052.png,26,Scorbunny,70,,,,,,,,,,,,,3157e5e43e7d636738e2ecabe7bd24872d78feb0,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_054.png,27,Steelix,200,,,,,,,,,,,,,3d4edd48aa53ad97e17606acd4bac70a5d31f455,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_056.png,28,rte ee ed Fas,,,"— tie
ue cur Une eee aise | al Me
Lae oe eis! ES : eo
tata lca Oa iican eta ay Eee ae
oe has . ae,","LENE CAN Nithaaeesee arpa oi eal hart wea fe: x 6
Roy encOniyceet its Sh ier fe

eS | Me mt
Ry auaictea ee ca ecestiati ea i Mees 8",ae :: 3,,,7/4,,,,,a oe oe | ae aE ee oe Bet cae ae oe aaa : eas ie a8 oe ae,54d5aef60b7ed262834561085a71de0c29996194,103,"hp_missing,artist_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_058.png,29,Hariyama,150,,,,,,,,,,,,,950796c94e2a51de4ea4585aadf5bd28c388d55a,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_060.png,30,Clauncher,80,,,,,,,,,,,,,6052d5496cb7dec2875c8d10a3e9188207afe5ad,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_062.png,31,Yveltal,110,,,,,,,,,,,,,da1d14cab25c39579bcba52340a3f55e948f8578,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_064.png,32,Raikou,120,,,,,,,,,,,,,2d0ed81c7d52d2f39744dde06cf1eff7a72121fd,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_066.png,33,Abra,50,,,,,,,,,,,,,f62ac8f4ffc295c4fb1fb0ed131a0c93f2caa985,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_068.png,34,"Se Ole Beet Pietisk,",,,"Sree srinitiemn tet © Daa leN Le Ste Met td su) See Te csc:
pee eo || // y","Hi

heh earthy f )

OS mae Bee ecn|| ax DB
ee Sea Se |// oy MY f NS","SI Ouest gdasan yee ai | i)

ae Vee e aval as i
EONS POS MRE Seis Oe pa coniies Rf SN
pel scree cae ie eer eT fi SB ED V

Bile VAP ne pean Nag PONT Nae ona es m 6s 1. Vay",,,,,,,,"Se Ole Beet Pietisk,",c94ff76a15239798fcc9d8b97dc2c7f051383a78,21,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_070.png,35,Bewear,130,,,,,,,,,,,,,802c3bf0414ba75b155596e2b232ea514b7e93b0,0,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_072.png,36,i) g8 is} pe eo \,,,"pee tre | Seba) DA oe NV Sa
c £o Sr cael] fare An I pea

o ao. o. At? Ogee 3.) are ee, Goda

wo o3 ee a o- \aeem (xn? ee

pais 20 Saree aN SR

oa x5 Se ON sale

3 Ppeerctne AEs kA B.","WS eee ao Av aes “Sor
; @ is eemae Ge NSE pit
! GI Qu = Bee. imma taken he

Es o oo f Ocoee by... *
\ Eetien gee oe Fd fae
3 N a) t | Peper Te Le Mane
|",oe os :: 38 | Ss :: 2,WA,IM,WN,WANT,|\j|,,rset,""" 3 £@ At,’ 4 pyar pees a 3 i: Beg, BS pe i= £0. i Sms ( BAW. Paces oa ws ee UE pee, Bs p i eee P Y i ae",764516f3ef1be67ab54995e0acff54d946db276b,330,hp_missing
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_t89veh_x/FirstScan/FirstScan_page_074.png,37,Celebi,80,,,,,,,,,,,,,34cfea9d8f1687c9af2d4378799597f745f7d060,0,"artist_missing,card_number_missing"
